ExpectedImmunity,TimeIndex,TimeIndex2,L2IDs,L2Index,L1IDs,L1Index,NObserved
0.629343073454825,1,1,290086,118,288565,7,4
0.574284893553884,1,1,290087,119,288565,7,6
0.588194479578825,1,1,290088,120,288565,7,8
0.646466408771767,1,1,290089,121,288565,7,3
0.549399366639035,1,1,290090,122,288565,7,6
0.382689958876,1,1,290091,123,288565,7,4
0.651904589592514,1,1,290092,124,288565,7,2
0.620423855197515,1,1,290093,125,288565,7,14
0.612337262120057,1,1,290094,126,288571,8,9
0.59386319546466,1,1,290104,127,288571,8,5
0.535174046090471,1,1,290105,128,288571,8,6
0.590306229157651,1,1,290106,129,288571,8,4
0.476393384,1,1,290108,130,288571,8,2
0.986612458315302,1,1,290110,131,288571,8,2
0.648997952704367,1,1,290111,132,288571,8,8
0.577973067504,1,1,290421,133,288512,1,1
0.823229375361763,1,1,290447,134,288622,10,2
0.766605003851572,1,1,290448,135,288622,10,4
0.350364,1,1,290542,136,288629,11,1
NaN,1,1,290543,137,288629,11,0
0.986612458315302,1,1,290545,138,288629,11,1
0.986612458315302,1,1,290547,139,288629,11,1
0.591967474989181,1,1,290549,140,288629,11,5
0,1,1,290550,141,288629,11,1
0.986612458315302,1,1,290552,142,288629,11,1
NaN,1,1,290555,143,288629,11,0
0,1,1,290558,144,288629,11,1
NaN,1,1,290559,145,288629,11,0
0.876988851835824,1,1,290567,146,288622,10,9
0.295153114578825,1,1,290568,147,288622,10,4
0.731502921157651,1,1,290570,148,288622,10,2
0.434709978115884,1,1,290694,149,288513,2,24
NaN,1,1,290716,150,288545,5,0
NaN,1,1,290717,151,288545,5,0
0.510325486105101,1,1,290718,152,288545,5,3
0.986612458315302,1,1,290720,153,288545,5,3
0.476393384,1,1,290721,154,288545,5,1
0.668488229157651,1,1,290722,155,288545,5,2
0.350364,1,1,290724,156,288545,5,1
NaN,1,1,290725,157,288545,5,0
NaN,1,1,290726,158,288545,5,0
NaN,1,1,290727,159,288545,5,0
0.590306229157651,1,1,290728,160,288545,5,2
0.495534558802741,1,1,290729,161,288545,5,3
NaN,1,1,290730,162,288545,5,0
0.40819578196386,1,1,290734,163,288545,5,5
NaN,1,1,290735,164,288545,5,0
0.986612458315302,1,1,290737,165,288545,5,2
NaN,1,1,290738,166,288545,5,0
0.788459343736476,1,1,290741,167,288545,5,4
0.700796950426921,1,1,290746,168,288604,9,5
0.415487098887217,1,1,290747,169,288604,9,6
0.651193029091229,1,1,290748,170,288604,9,7
0.731534161557829,1,1,290752,171,288604,9,8
NaN,1,1,290753,172,288604,9,0
0.577973067504,1,1,290754,173,288604,9,1
0.491547822083887,1,1,290897,174,288719,14,5
0.5428063472373,1,1,290898,175,288719,14,3
0.833469380794201,1,1,290899,176,288719,14,6
0.986612458315302,1,1,290901,177,288719,14,4
0.567032072372626,1,1,290905,178,288719,14,22
0.608757227066021,1,1,290906,179,288719,14,18
0.701768730900611,1,1,290907,180,288719,14,11
NaN,1,1,290913,181,288719,14,0
0.350364,1,1,290915,182,288719,14,1
NaN,1,1,290939,183,288512,1,0
0.476393384,1,1,290940,184,288512,1,3
NaN,1,1,290945,185,288512,1,0
0.731502921157651,1,1,290965,186,288512,1,2
0.590306229157651,1,1,290984,187,288512,1,2
NaN,1,1,291023,188,288512,1,0
0.774529638876868,1,1,291024,189,288512,1,3
NaN,1,1,291031,190,288512,1,0
0.986612458315302,1,1,291034,191,288512,1,1
0,1,1,291036,192,288512,1,1
0.986612458315302,1,1,291037,193,288512,1,3
0.986612458315302,1,1,291041,194,288512,1,1
0.673369382785163,2,2,288755,1,288732,16,13
0.665607583574509,2,2,288815,2,288530,3,3
0.651904589592514,2,2,288872,3,288571,8,2
0.620842926086174,2,2,288925,4,288513,2,78
0.581828350375801,2,2,288958,5,288729,15,7
NaN,2,2,288959,6,288729,15,0
0.523448227842162,2,2,288960,7,288729,15,22
0.515557588505101,2,2,288961,8,288729,15,15
0.528927061722355,2,2,288962,9,288729,15,11
0.432877490511292,2,2,288963,10,288513,2,94
0.553879099741368,2,2,288964,11,288513,2,25
0.39417433676173,2,2,288965,12,288513,2,49
0.529670129214822,2,2,288966,13,288513,2,33
0.417706913153623,2,2,288974,14,288729,15,18
0.506333641852261,2,2,288975,15,288513,2,27
0.452795733199287,2,2,288976,16,288513,2,35
0.531045421867687,2,2,288977,17,288513,2,56
0.456463496276765,2,2,288978,18,288513,2,48
0.474282213212785,2,2,288979,19,288513,2,86
0.56065352609663,2,2,288980,20,288513,2,38
0.570945318032348,2,2,288981,21,288513,2,116
0.530703581506866,2,2,288982,22,288513,2,106
0.364595115619319,2,2,288983,23,288513,2,36
0.284945059472921,2,2,288984,24,288513,2,62
0.323013019183677,2,2,288985,25,288513,2,55
0.244854772938595,2,2,288986,26,288513,2,34
0.482463767967032,2,2,288987,27,288513,2,15
0.385837440148731,2,2,288989,28,288513,2,57
0.465021085801248,2,2,288990,29,288513,2,13
0.454036653363243,2,2,288991,30,288513,2,34
