"ExpectedImmunity","TimeIndex","TimeIndex2","L2IDs","L2Index","L1IDs","L1Index","NObserved","SmoothedImmunity1","SmoothedImmunity2"
0.986612458315302,1,1,288755,1,288732,16,5,0.757924277789862,0.808766551675102
0.175182,1,1,288815,2,288530,3,2,0.487586877663301,0.464127856524397
0.478065784167388,1,1,288872,3,288571,8,6,0.532519974286424,0.517515537104516
0.537615035776064,1,1,288925,4,288513,2,43,0.551279623818848,0.542000717279009
0.4014306439008,1,1,288958,5,288729,15,5,0.440577930903927,0.43128328842983
0.986612458315302,1,1,288959,6,288729,15,1,0.422171000601119,0.426046950176331
0.708142378687713,1,1,288960,7,288729,15,20,0.587563120565903,0.650627452874465
0.508087741191503,1,1,288961,8,288729,15,9,0.528194478204968,0.515515238490092
0.266455075250667,1,1,288962,9,288729,15,6,0.489841075228913,0.424970467405199
0.497151152211883,1,1,288963,10,288513,2,38,0.517178760661789,0.50176930237189
0.595629782286753,1,1,288964,11,288513,2,10,0.46097869454533,0.515846238999719
0.424114296966609,1,1,288965,12,288513,2,42,0.491401541345723,0.442702693494291
0.554906445783243,1,1,288966,13,288513,2,39,0.47778510740007,0.534096959790605
0.49488599622055,1,1,288974,14,288729,15,6,0.535331810532311,0.518369454847256
0.524723045699722,1,1,288975,15,288513,2,71,0.533813106375046,0.526975424006685
0.535272066508791,1,1,288976,16,288513,2,34,0.503412235344662,0.524977382008753
0.365127799288343,1,1,288977,17,288513,2,24,0.418039192147463,0.385819344684616
0.470367150265407,1,1,288978,18,288513,2,32,0.427863130968334,0.454965432358178
0.447688965362234,1,1,288979,19,288513,2,46,0.521915938060211,0.46754702406758
0.581052892319673,1,1,288980,20,288513,2,13,0.500941737731386,0.537454040060339
0.585303781346319,1,1,288981,21,288513,2,94,0.552398879965785,0.579746894925947
0.497976294138976,1,1,288982,22,288513,2,28,0.569009524475945,0.524017562400157
0.50082382060377,1,1,288983,23,288513,2,37,0.47309870566406,0.490864060861751
0.334731559492693,1,1,288984,24,288513,2,70,0.352794869071213,0.337601402431846
0.40330837416907,1,1,288985,25,288513,2,51,0.434699290986758,0.410590902121774
0.236215899394595,1,1,288986,26,288513,2,34,0.362136307995991,0.275628500113366
0.469188931357803,1,1,288987,27,288513,2,32,0.481202301314715,0.47387537493667
0.406133019415595,1,1,288989,28,288513,2,57,0.442184252011491,0.413432327084842
0.345250516432514,1,1,288990,29,288513,2,16,0.485519429644446,0.416608814387766
0.559129498806773,1,1,288991,30,288513,2,37,0.53808690970461,0.553247824033227
0.528961541748996,1,1,288992,31,288513,2,26,0.483351604144574,0.51239499146734
0.440687332792565,1,1,288993,32,288513,2,23,0.441338808923712,0.442518063564449
0.564423928716433,1,1,288994,33,288513,2,24,0.508516786689959,0.54357169453662
0.608311753305124,1,1,288995,34,288513,2,24,0.563710642194214,0.592994388213802
0.626148541530595,1,1,288996,35,288513,2,32,0.510133984811358,0.588464968422426
0.38728626571257,1,1,288997,36,288513,2,50,0.408702873549585,0.391644517315693
0.56854891602049,1,1,289003,37,288513,2,34,0.533317132911502,0.5575078694772
0.48139224568992,1,1,289004,38,288513,2,31,0.501137131601816,0.491719833188862
0.546578004368878,1,1,289009,39,288513,2,39,0.481637441523377,0.527760839241427
0.578453296425203,1,1,289010,40,288513,2,21,0.491328119688243,0.544009267308019
0.596783642775538,1,1,289011,41,288513,2,22,0.531056124710623,0.571227833337541
0.429746777599067,1,1,289012,42,288513,2,39,0.403761307315995,0.421663735793156
0.436447042606931,1,1,289013,43,288513,2,64,0.489077432816365,0.448635623079835
0.492057320884604,1,1,289014,44,288513,2,31,0.447872134617116,0.478066744058622
0.416304451718136,1,1,289163,45,288729,15,10,0.508046893918228,0.466825100171686
0.610094229157651,1,1,289505,46,288732,16,6,0.686403774814129,0.664883942628693
0.829039297306812,1,1,289525,47,288732,16,14,0.732825063360979,0.778048307183222
0.521391989437006,1,1,289526,48,288732,16,5,0.602142172691016,0.581758241258357
0.788459343736476,1,1,289527,49,288732,16,4,0.66280608058295,0.681110667651943
0.541806229157651,1,1,289528,50,288732,16,4,0.650333573083227,0.624905603488313
NA,1,1,289530,51,288537,4,1,0.588688503213004,0.578093278260431
0.777366148259707,1,1,289531,52,288732,16,4,0.690107630994724,0.706553195350963
0.58669038825983,1,1,289532,53,288732,16,11,0.647363010205908,0.620981548431638
0.5908171771611,1,1,289533,54,288732,16,9,0.654978498288423,0.631272210502766
0.338494612734704,1,1,289536,55,288732,16,6,0.605861237078623,0.533666750036622
0.884452610612476,1,1,289539,56,288732,16,4,0.690317716735138,0.724212718148533
0.618909679956112,1,1,289541,57,288732,16,2,0.683765277320129,0.676694926716565
0.577973067504,1,1,289543,58,288537,4,1,0.534421540594159,0.527372893031601
0.487820293565731,1,1,289544,59,288732,16,4,0.677768602370813,0.644523097848375
0.823229375361763,1,1,289547,60,288537,4,2,0.503081058645261,0.519873386439447
0.476393384,1,1,289563,61,288530,3,1,0.549645511014937,0.549492505171554
0.741428823828521,1,1,289565,62,288530,3,5,0.609557203092498,0.637579626164284
0.510253278501333,1,1,289566,63,288530,3,3,0.585622831954719,0.573395389069892
0.782292762909651,1,1,289569,64,288530,3,2,0.617932658288217,0.62712899984498
NA,1,1,289570,65,288530,3,1,0.601687306350838,0.601489148346643
0.52379039546466,1,1,289571,66,288530,3,5,0.568913996729051,0.557150059519761
0.431294249153371,1,1,289572,67,288537,4,6,0.509741541446306,0.482527231247067
0.350364,1,1,289573,68,288530,3,1,0.467173643824024,0.462484600848004
0.537544353469408,1,1,289574,69,288530,3,3,0.584078602359843,0.574666827827263
NA,1,1,289576,70,288537,4,1,0.514948400437115,0.500024767617971
0.541844102791425,1,1,289577,71,288530,3,7,0.569345601494474,0.558678323279094
0.986612458315302,1,1,289578,72,288530,3,1,0.650825782269502,0.660647964830942
0.453948106854056,1,1,289580,73,288537,4,4,0.466341685059854,0.456468474199656
NA,1,1,289581,74,288530,3,1,0.599449452831491,0.593725469152492
NA,1,1,289593,75,288537,4,1,0.516937926370311,0.50742824594129
0.56373839784499,1,1,289730,76,288708,13,10,0.606499106270708,0.590365341554644
0.445658819438434,1,1,289733,77,288708,13,6,0.525226042075335,0.502703039509138
0.546466378288588,1,1,289734,78,288708,13,6,0.58552178492711,0.575529127997927
0.678498486759454,1,1,289735,79,288708,13,2,0.627840773236678,0.638083754499865
NA,1,1,289736,80,288708,13,1,0.556351495758346,0.553044289043991
0.726046151789181,1,1,289738,81,288708,13,5,0.547547745199813,0.584270937783431
0.577973067504,1,1,289739,82,288708,13,2,0.589003962016775,0.591428644494346
NA,1,1,289740,83,288708,13,1,0.588250524793573,0.587783476251499
0.476393384,1,1,289741,84,288708,13,1,0.544518180184346,0.539557056068443
